user,index_months,year,month,date,weekday,date_formatting,stream_url,length_minute,watchtime_hrs,avg_viewers,peak_viewers,new_followers,followers_hourly,views,views_hourly,Cattegory,co_stream,event
jingburger,11,2021,11,25,4,11/25/2021,https://sullygnome.com/channel/jingburger/stream/44563492477,428,856856,2002,2622,112,15,16207,2235,Just Chatting,,0
jingburger,11,2021,11,24,3,11/24/2021,https://sullygnome.com/channel/jingburger/stream/44552407773,540,694440,1286,2449,95,10,11280,1253,Just Chatting,,0
jingburger,11,2021,11,23,2,11/23/2021,https://sullygnome.com/channel/jingburger/stream/44539470925,738,1072314,1453,2486,175,14,20386,1630,Just Chatting,,0
jingburger,11,2021,11,21,7,11/21/2021,https://sullygnome.com/channel/jingburger/stream/44515488525,518,673918,1301,1991,197,22,19218,2196,Just Chatting,,0
jingburger,11,2021,11,18,4,11/18/2021,https://sullygnome.com/channel/jingburger/stream/44475956541,551,1119632,2032,3240,189,20,20743,2242,Just Chatting,,0
jingburger,11,2021,11,17,3,11/17/2021,https://sullygnome.com/channel/jingburger/stream/44464626333,496,869984,1754,2572,151,18,15946,1932,Just Chatting,,0
jingburger,11,2021,11,16,2,11/16/2021,https://sullygnome.com/channel/jingburger/stream/44452655773,526,577548,1098,1796,190,21,15778,1753,Just Chatting,,0
jingburger,11,2021,11,15,1,11/15/2021,https://sullygnome.com/channel/jingburger/stream/44441953789,361,538612,1492,2382,117,19,11006,1834,Just Chatting,,0
jingburger,11,2021,11,15,1,11/15/2021,https://sullygnome.com/channel/jingburger/stream/44440495309,58,50460,870,1067,19,19,1667,1667,Ring Fit Adventure,,0
jingburger,11,2021,11,14,7,11/14/2021,https://sullygnome.com/channel/jingburger/stream/44429357309,518,424760,820,1199,260,29,15066,1721,Just Chatting,1,0
jingburger,11,2021,11,12,5,11/12/2021,https://sullygnome.com/channel/jingburger/stream/44404068013,393,493215,1255,1949,156,23,13362,1979,Just Chatting,,0
jingburger,11,2021,11,12,5,11/12/2021,https://sullygnome.com/channel/jingburger/stream/44402463325,69,48714,706,948,21,16,1824,1459,Ring Fit Adventure,,0
jingburger,11,2021,11,11,4,11/11/2021,https://sullygnome.com/channel/jingburger/stream/44394583565,132,65340,495,654,8,3,2031,902,Just Chatting,,0
jingburger,11,2021,11,11,4,11/11/2021,https://sullygnome.com/channel/jingburger/stream/44391614557,375,389625,1039,1758,156,24,14601,2336,Just Chatting,,0
jingburger,11,2021,11,9,2,11/9/2021,https://sullygnome.com/channel/jingburger/stream/44368330845,316,317896,1006,1308,82,14,9604,1746,Just Chatting,,0
jingburger,11,2021,11,8,1,11/8/2021,https://sullygnome.com/channel/jingburger/stream/44358552253,576,1009728,1753,3180,249,25,21045,2158,Just Chatting,,0
jingburger,11,2021,11,8,1,11/8/2021,https://sullygnome.com/channel/jingburger/stream/44357156669,68,59296,872,1223,18,14,2577,2061,Ring Fit Adventure,,0
jingburger,11,2021,11,6,6,11/6/2021,https://sullygnome.com/channel/jingburger/stream/44333053197,717,1010253,1409,2130,232,19,23820,1985,Just Chatting,,0
